Checkouts,Temp,Humidity,Rain_Intensity,Rain_Total,Hour,DOY,Weekday,Cubs_Game
18,1.1,70,0,19.4,13,56,THURSDAY,X
3,5.7,97,0.6,47.6,20,73,SUNDAY,X
47,27.5,63,0,201.4,23,223,WEDNESDAY,N
3,5.7,82,0,38.9,5,329,THURSDAY,X
49,22.7,68,0,59,14,166,TUESDAY,X
215,29.3,60,0,305.6,12,249,MONDAY,X
4,2.6,55,0,28.5,3,93,SATURDAY,X
18,-4.3,85,0,12.4,8,46,MONDAY,X
170,32.5,48,0,124.9,17,193,MONDAY,X
88,26.4,52,0,194.5,21,207,MONDAY,X
0,3.1,89,0,129.3,2,359,SATURDAY,X
2,3.8,79,0,38.9,21,329,THURSDAY,X
3,20,56,0,254.9,1,235,MONDAY,X
13,19.3,69,0,68.9,5,170,SATURDAY,N
55,19.5,70,0,26.4,10,152,TUESDAY,N
79,14.8,93,0,13.2,19,303,SATURDAY,X
0,10,57,0,3.5,2,106,FRIDAY,D
51,21.1,87,0,73.1,12,174,WEDNESDAY,D
11,-2,74,0,120.4,6,347,MONDAY,X
94,23.7,88,0,232.6,8,229,TUESDAY,N
8,-7.8,35,0,6.8,19,44,SATURDAY,X
41,9.6,67,0,27.7,14,316,FRIDAY,X
10,-0.5,72,0,43.2,7,23,SATURDAY,X
1,22.5,97,0.6,230.9,1,229,TUESDAY,D
113,12.6,71,0,26,15,309,FRIDAY,X
104,11.8,43,0,27.7,12,318,SUNDAY,X
4,0,75,0,14.7,1,48,WEDNESDAY,X
25,7.1,43,0,135.1,12,363,WEDNESDAY,X
79,6.1,90,0,20.5,17,120,FRIDAY,D
87,8.2,76,0,13.2,8,301,THURSDAY,X
23,9.4,90,1.2,4.4,19,97,WEDNESDAY,X
5,11.6,91,0,3.5,0,102,MONDAY,N
1,8.2,82,0,34.8,3,72,SATURDAY,X
0,22.3,96,0,232.3,2,229,TUESDAY,D
76,27.8,65,0,117.6,15,188,WEDNESDAY,D
16,16.7,86,0,346.4,2,275,SATURDAY,X
56,8.6,54,0,9.6,6,90,WEDNESDAY,X
44,9.5,69,0,27.7,12,316,FRIDAY,X
4,22.8,66,0,376.4,4,281,FRIDAY,X
14,27.8,69,0,124.9,0,194,TUESDAY,X
77,15.9,54,0,391.3,12,288,FRIDAY,X
45,16.5,39,0,55.8,15,82,TUESDAY,X
73,23.8,70,0,305.6,20,248,SUNDAY,D
